Using: /mnt/apps/public/COE/synopsys_apps/hspice/W-2024.09-SP1/hspice/linux64/hspice  -i '/mnt/coe/workspace/ece/ece546-spr25/group8/group8_project/simulation/group8,tb2025,schematic/history_1/simulation/HSPICE_default/HSPICE/nominal/netlist/input.spi' -o 'hspice'

71.33% Tran Time= 7.13263e-09s Estimated Time Left: 0:00:35        
72.19% Tran Time= 7.21924e-09s Estimated Time Left: 0:00:34        
73.04% Tran Time= 7.30401e-09s Estimated Time Left: 0:00:33        
73.84% Tran Time= 7.38405e-09s Estimated Time Left: 0:00:32        
74.66% Tran Time= 7.46639e-09s Estimated Time Left: 0:00:31        
75.80% Tran Time= 7.58000e-09s Estimated Time Left: 0:00:29        
76.80% Tran Time= 7.67995e-09s Estimated Time Left: 0:00:28        
77.88% Tran Time= 7.78808e-09s Estimated Time Left: 0:00:26        
78.76% Tran Time= 7.87588e-09s Estimated Time Left: 0:00:25        
79.69% Tran Time= 7.96936e-09s Estimated Time Left: 0:00:24        
80.54% Tran Time= 8.05381e-09s Estimated Time Left: 0:00:23        
81.34% Tran Time= 8.13382e-09s Estimated Time Left: 0:00:22        
82.13% Tran Time= 8.21329e-09s Estimated Time Left: 0:00:21        
82.95% Tran Time= 8.29474e-09s Estimated Time Left: 0:00:20        
83.71% Tran Time= 8.37123e-09s Estimated Time Left: 0:00:19        
84.52% Tran Time= 8.45242e-09s Estimated Time Left: 0:00:18        
85.62% Tran Time= 8.56176e-09s Estimated Time Left: 0:00:17        
86.49% Tran Time= 8.64945e-09s Estimated Time Left: 0:00:16        
87.28% Tran Time= 8.72793e-09s Estimated Time Left: 0:00:15        
88.30% Tran Time= 8.82977e-09s Estimated Time Left: 0:00:14        
89.49% Tran Time= 8.94915e-09s Estimated Time Left: 0:00:12        
90.33% Tran Time= 9.03337e-09s Estimated Time Left: 0:00:11        
91.41% Tran Time= 9.14069e-09s Estimated Time Left: 0:00:10        
92.55% Tran Time= 9.25508e-09s Estimated Time Left: 0:00:08        
93.47% Tran Time= 9.34663e-09s Estimated Time Left: 0:00:07        
94.67% Tran Time= 9.46658e-09s Estimated Time Left: 0:00:06        
95.62% Tran Time= 9.56151e-09s Estimated Time Left: 0:00:05        
96.56% Tran Time= 9.65620e-09s Estimated Time Left: 0:00:04        
97.68% Tran Time= 9.76842e-09s Estimated Time Left: 0:00:02        
98.67% Tran Time= 9.86712e-09s Estimated Time Left: 0:00:01        
99.72% Tran Time= 9.97174e-09s Estimated Time Left: 0:00:00        
>info:         ***** hspice job concluded
